publication_title,title_id,Aim
quality technology and quantitative management,ttqm20,"quality technology and quantitative management is an international refereed journal publishing original work in quality, reliability, queuing service systems, applied statistics (including methodology, data analysis, simulation), and their applications in business and industrial management. the journal publishes both theoretical and applied research articles using statistical methods or presenting new results, which solve or have the potential to solve real-world management problems. survey articles are welcomed provided they cover important broad fields.
  peer review policy
all peer review is single blind and submission is online via scholarone manuscripts.
  star
taylor and francis/routledge are committed to the widest possible dissemination of its journals to non-profit institutions in developing countries. our star initiative offers individual researchers in africa, south asia and many parts of south east asia the opportunity to gain one month’s free online access to 1,300 taylor and francis journals. for more information, please visit the star website.
    authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
quantitative infrared thermography journal,tqrt20,"the quantitative infrared thermography journal (qirt) provides a forum for industry and academia to discuss the latest developments of instrumentation, theoretical and experimental practices, data reduction, and image processing related to infrared thermography.
we welcome papers that explore:
state-of-the-art and evolution in the field of infrared scanners and imaging systems allowing quantitative measurements, and related data acquisition and storing systems.
calibration and characterization of infrared cameras and related problems like certification, standardization, emissivity determination, absorption in media, spurious radiations, three dimensionality of observed objects.
data reduction and image processing related to infrared thermography.
application of infrared thermography to radiometry, thermometry, and physical parameters identification that cover fluid mechanics, solid mechanics, structures and material sciences, non-destructive evaluations, electromagnetism, medicine and biomedical science, remote sensing, environment, and industrial processes.
concurrent thermographic techniques when they present comparative evaluations including infrared thermography.


all submitted manuscripts are subject to initial appraisal by the editor, and, if found suitable for further consideration, to peer review by independent, anonymous expert referees. all peer review is single blind. for more information on submitting visit our instructions for authors page.
author benefits
we are abstracted and indexed in several high-quality databases including scopus, the science citation index, and ei compendex/ engineering village.
the prestigious and experienced members of our international editorial board will guide you from submission to publication.
our author services page provides you with tips and tricks to promote your research on social media and through your network. this includes 50 free e-prints to share with anyone you wish.
quickly and easily track the impact your paper makes with the help of authored works.
authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
remote sensing letters,trsl20,"remote sensing letters ( rsl) publishes rapid communications on the theory, science and technology of remote sensing and novel applications of remotely sensed data.  the journal’s focus includes remote sensing of the atmosphere, biosphere, cryosphere and the terrestrial earth, as well as human modifications to the earth system.  principal topics include: 
• remotely sensed data collection, analysis, interpretation and display.
• surveying from space, air, water and ground platforms.
• imaging and related sensors.
• image processing.
• use of remotely sensed data.
• economic surveys and cost-benefit analyses. 
letters must not exceed 10 printed pages of the journal; it may be possible to transfer articles such as those that cannot meet this limit to the  international journal of remote sensing ( ijrs).
  rspsoc members can publish their work gold open access for a discounted article publishing charge (apc) of $800. please email  apc@tandf.co.uk with your rspsoc membership number if you would like to choose this option.
 
readership

scientists, engineers and managers interested in geophysical and biophysical mapping, as well as monitoring of the environment, renewable and non-renewable resources, and pollution.


peer review statement

all submitted manuscripts are subject to initial appraisal by the editor, and, if found suitable for further consideration, to peer review by independent, anonymous expert referees.

all peer review is single blind and submission is online via scholarone.
authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
remote sensing reviews,grsr20,home all journals remote sensing reviews aims and scope
research in nondestructive evaluation,urnd20,"research in nondestructive evaluation® is the archival research journal of the american society for nondestructive testing, inc. rnde® contains the results of original research in all areas of nondestructive evaluation (nde). the journal covers experimental and theoretical investigations dealing with the scientific and engineering bases of nde, its measurement and methodology, and a wide range of applications to materials and structures that relate to the entire life cycle, from manufacture to use and retirement.
  illustrative topics include advances in the underlying science of acoustic, thermal, electrical, magnetic, optical and ionizing radiation techniques and their applications to nde problems. these problems include the nondestructive characterization of a wide variety of material properties and their degradation in service, nonintrusive sensors for monitoring manufacturing and materials processes, new techniques and combinations of techniques for detecting and characterizing hidden discontinuities and distributed damage in materials, standardization concepts and quantitative approaches for advanced nde techniques, and long-term continuous monitoring of structures and assemblies. of particular interest is research which elucidates how to evaluate the effects of imperfect material condition, as quantified by nondestructive measurement, on the functional performance.
  all submitted manuscripts are subject to initial appraisal by the editor regarding quality and consistency with the aims and scope, and, if found suitable for further consideration, to peer review by independent, anonymous expert referees. all peer review is single blind and submission is online via scholarone manuscripts.
  publication office: taylor and francis, inc., 530 walnut street, suite 850, philadelphia, pa 19106
authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
road materials and pavement design,trmp20,"the international journal road materials and pavement design welcomes contributions on mechanical, thermal, chemical and/or physical properties and characteristics of bitumens, additives, bituminous mixes, asphalt concrete, cement concrete, unbound granular materials, soils, geo-composites, new and innovative materials, as well as mix design, soil stabilization, and environmental aspects of handling and re-use of road materials.
the journal also intends to offer a platform for the publication of research of immediate interest regarding design and modeling of pavement behavior and performance, structural evaluation, stress, strain and thermal characterization and/or calculation, vehicle/road interaction, climatic effects and numerical and analytical modeling. the different layers of the road, including the soil, are considered. emerging topics, such as new sensing methods, machine learning, smart materials and smart city pavement infrastructure are also encouraged.
contributions in the areas of airfield pavements and rail track infrastructures as well as new emerging modes of surface transportation are also welcome.
authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
safety and reliability,tsar20,"safety and reliability publishes high-quality, peer-reviewed papers to promote safety, reliability and other related fields in all industries.
safety and reliability seeks new insights into the many factors that contribute to the development and implementation of safety and reliability, including: 
• safety, reliability and risk analysis, assessment and management
• modelling, prediction and testing
• safety culture and human factors
we also encourage work that describes the cross-sector transfer of best practice in safety and reliability.
safety and reliability publishes relevant research papers, review articles, case studies, event summaries, opinion pieces and book reviews. 
once your article has been assessed for suitability by the editor, it will then be single-blind peer-reviewed by independent, anonymous expert referees. you can find out more information on submitting a manuscript via our instructions for authors page.
author benefits
safety and reliability is an official journal of the safety and reliability society meaning your research will be visible across all their members globally.
the prestigious and experienced members of our international  editorial board will guide you from submission to publication
our  author services page provides you with tips and tricks to promote your research on social media and through your network. this includes 50 free e-prints to share with anyone you wish.
quickly and easily track the impact your paper makes with the help of my authored works.
   authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
science and technology for the built environment,uhvc21,"aims and scope:
science and technology for the built environment, ashrae's archival research publication offers comprehensive reporting of original research in science and technology related to the stationary and mobile built environment, including
indoor environmental quality, occupant health, comfort, and productivity
heating, ventilation, air conditioning, and refrigeration (hvacandr) and related technologies  
thermodynamic and energy system dynamics, controls, optimization, fault detection and diagnosis, smart systems, and building demand-side management
experiments and analysis related to material properties, underlying thermodynamics, refrigerants, fluid dynamics, airflow, and heat and mass transfer
renewable and traditional energy systems and related processes and concepts
integrated built environmental system design approaches and tools
novel simulation approaches and algorithms and validated simulations
building enclosure materials, assemblies, and systems for minimizing and/or regulating space heating and cooling modes  
review articles that critically assess existing literature and point out future research directions 
only works reporting on research that is original and of lasting value are accepted for publication. this journal is included in the web of science and current contents connect databases. all submitted manuscripts are subject to initial appraisal by the editor, and, if found suitable for further consideration, to peer review by independent, anonymous expert referees. all peer review is double blind and submission is online via scholarone manuscripts.
  science and technology for the built environment is published by taylor and francis group on behalf of ashrae, a global society advancing human well-being through sustainable technology for the built environment. science and technology for the built environment is available online, as a printed volume published twice a year and through ""open select"" offered by taylor and francis. ashrae and taylor and francis aim to expand the global reach and readership, to achieve the highest possible levels of accessibility through rapid review and publication process, and to improve access to previously published articles. 
publication office: taylor and francis group, 530 walnut street, philadelphia, pa 19106.
authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
science and technology of welding and joining,ystw20,"science and technology of welding and joining is an international peer-reviewed journal covering both the basic science and applied technology of welding and joining.
its comprehensive scope encompasses all welding and joining techniques (brazing, soldering, mechanical joining, etc.) and aspects such as characterisation of heat sources, mathematical modelling of transport phenomena, weld pool solidification, phase transformations in weldments, microstructure-property relationships, welding processes, weld sensing, control and automation, neural network applications, and joining of advanced materials, including plastics and composites.
peer review policy
all submitted manuscripts are subject to initial appraisal by the editor. if found suitable for further consideration, papers are subject to peer review by independent, anonymous expect referees. all peer-review is single blind and submissions can be submitted online via  https://www.editorialmanager.com/stw
publishing ethics
the journal adheres to the highest standards of publishing ethics, with rigorous processes in place to ensure this is achieved. taylor and francis is a member of  committee of publications ethics  (cope) and utilises  crosscheck  for all journals. more information on our ethical standards and policies can be found here:  http://authorservices.taylorandfrancis.com/ethics-for-authors/   
authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
separation and purification reviews,lspr20,"separation and purification reviews provides comprehensive summaries and interdisciplinary viewpoints of significant developments in all areas of separation and purification, including innovative methods, apparatus, theories, and applications. the journal presents reviews that cover a large amount of scientific/technical information in a concise and organized manner on topics such as adsorption, centrifugation, chromatography, crystallization, distillation, extraction, filtration, ion exchange, membrane separations of solid, liquid or gaseous materials.  the appropriate content of review manuscripts is described in: berthod, a. (2009) ""so what? or required content of a review article."" sep. purif. rev. 38:203-206.  
  peer review 
all submitted manuscripts are subject to initial appraisal by the editor, and, if found suitable for further consideration, to peer review by independent, anonymous expert referees.  all peer review is single blind and submission is online via scholarone manuscripts. 
publication office: taylor and francis, inc., 530 walnut street, suite 850, philadelphia, pa 19106
authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
separation science and technology,lsst20,"this international journal publishes timely research on preparative separation processes and theoretical contributions to the field of separation science. we welcome papers on the following topics with applications across environmental sustainability, energy production, water treatment, and biotechnology:

•  adsorption/absorption
•  bioseparations
•  centrifugation
•  crystallization
•  distillation
•  electrically/magnetically driven separations
•  flocculation
•  extraction
•  membrane processes
•  precipitation
•  reactive separations

the journal is also interested in publishing papers on continuous separations, hybrid processes, and carbon capture.

numerical studies must highlight the broad applicability of the results beyond the system studied.

the journal does not publish analytical separation papers unless they contain new fundamental contributions to the field of separation science. separation requires a selective transfer (i.e. transferring one substance while rejecting another). simply describing the transferring of one substance from phase a to phase b is not a separation. if selectivity is not demonstrated (or has already been demonstrated) the paper will not be considered for publication.

peer review policy
all submitted manuscripts are subject to initial appraisal by the editorial board, and, if found suitable for further consideration, to peer review by independent and anonymous expert referees. all peer review is single-blind and submission is online via scholarone manuscripts.

publishing ethics statement
the journal adheres to the highest standards of publishing ethics, with rigorous processes in place to ensure this is achieved. taylor and francis is a member of committee of publication ethics (cope) and utilizes similarity check via crossref for all journals. more information on our ethical standards and policies can be found here: http://authorservices.taylorandfrancis.com/ethics-for-authors/

the journal has an appeals and complaints policy which can be viewed here: https://authorservices.taylorandfrancis.com/peer-review-appeals-and-complaints-from-authors/
     publication office: taylor and francis, inc., 530 walnut street, suite 850, philadelphia, pa 19106
authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
separation and purification methods,lspr19,home all journals separation and purification methods aims and scope
ship technology research,ystr20,"the ship technology research ( schiffstechnik) journal seeks to provide a sound and internationally-recognised platform for the presentation and discussion of the latest developments in research, design and manufacture as well as operation and maintenance concerning ships and offshore structures. engineers and researchers involved in the design and fabrication of ships and offshore structures are the primary audiences of interest.
the journal covers applied research in the following topics for ships and offshore structures:

• resistance and propulsion in calm water and in waves
• motions in waves and dynamic stability
• wave loads, extreme and fatigue loads
• fluid-structure interaction, whipping and springing
• manoeuvring in calm water and in waves
• slamming, sloshing and green-water loads
• loads on appendages
• cavitation and ventilation
• ship dynamics in shallow and restricted waters
• hydrodynamic interaction and multi-body problems
• mooring, anchoring and station keeping
• modelling of environment – wind and waves
• development and validation of numerical methods
• model tests and full-scale measurements
• design loads and rule development
• linear and nonlinear structural response for service loads and accidental actions
• novel materials and material modeling including fatigue and fracture
• design method developments and applications with a special focus on risk-based design methods as well as optimization techniques
• design method developments and applications for arctic conditions
• life-cycle considerations and assessment incl. manufacture, inspection, monitoring, repair and maintenance
• structural dynamics
• strength and fatigue
• mechanics of offshore structures
papers submitted to the journal must be original and will be refereed to a high standard. original research articles, review articles, case studies and technical notes are generally accepted for publication. priority will be given to papers, which potentially have a large impact on design.
authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
ships and offshore structures,tsos20,"free access to editorial: special issue on reliability analysis in the design of structures
ships and offshore structures is an international, peer-reviewed journal which provides an authoritative forum for publication and discussion of recent advances and future trends in all aspects of technology across the maritime industry.
the journal covers the entire range of issues and technologies related to both ships (including merchant ships, war ships, polar ships etc.) and offshore structures (floating and fixed offshore platforms, offshore infrastructures, underwater vehicles etc.) with a strong emphasis on practical design, construction and operation.

specific areas of interest include, but are not limited to:
initial planning and contracting
design
hydrodynamics and propulsion
structures and materials
stability and safety
construction and production
operation and lifetime care
machinery and marine engineering
ocean environmental engineering
arctic and polar engineering
subsea engineering
renewable energy
conversion and decommissioning
risk assessment and management
digital twin technology
papers of interest to ships and offshore structures will thus be broad-ranging, and will include contributions concerned with principles, theoretical/numerical modelling, model/prototype testing, applications, case studies and operational records, which may take advantage of computer-aided methodologies, and information and digital technologies. whilst existing journals deal with technologies as related to specific topics, ships and offshore structures provides a systematic approach to individual technologies, to more efficiently and accurately characterize the functioning of entire systems.

the journal is intended to bridge the gap between theoretical developments and practical applications for the benefit of academic researchers and practising engineers, as well as those working in related governmental, public policy and regulatory bodies.

ships and offshore structures publishes articles in the form of:
original research papers
practitioner reports
technology case studies
analytical commentaries
reviews
all published research articles in this journal have undergone rigorous peer review, based on initial editor screening and anonymous refereeing by independent expert referees.
  star
taylor and francis/routledge are committed to the widest possible dissemination of its journals to non-profit institutions in
developing countries. our star initiative offers individual researchers in africa, south asia and many parts of south east asia the opportunity to gain one month’s free online access to 1,300 taylor and francis journals. for more information, please visit the star website.

authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
smart science,tsma20,"smart science  (issn 2308-0477) is an international, peer-reviewed journal that publishes significant original scientific researches, and reviews and analyses of current research and science policy. we welcome submissions of high quality papers from all fields of science and from any source. articles of an interdisciplinary nature are particularly welcomed.  
smart science  aims to be among the top multidisciplinary journals covering a broad spectrum of smart topics in the fields of materials science, chemistry, physics, engineering, medicine, and biology. 
smart science is currently focusing on the topics of smart manufacturing (cps, iot and ai) for industry 4.0, smart energy and smart chemistry and materials.
other specific research areas covered by the journal include, but are not limited to:
1. smart science in the future
2. smart manufacturing
cyber-physical system (cps)
internet of things (iot) and internet of brain (iob)
artificial intelligence 
smart computing
smart design/machine
smart sensing
smart information and networks
  3. smart energy and thermal/fluidic science
4. smart chemistry and materials
peer review policy
all manuscripts are pre-checked by editors, and if appropriate, sent for single blind peer review. contributions must be original, not previously or simultaneously published elsewhere, also are critically reviewed before they are published. for in-depth review, at least two outside referees are consulted. reviewers are contacted before being sent a paper and are asked to return comments within 3 weeks for most papers. reviewers may be selected to evaluate separate components of a manuscript. we greatly appreciate the time spent in preparing a review, and will consult you on a revision of a manuscript only if we believe the paper has been significantly improved but still requires input. the responsibility of final decisions on acceptance or rejection of a submitted manuscript lies with the editors. editors reserve the right to reject papers without sending them out for review.
authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
solvent extraction and ion exchange,lsei20,"solvent extraction and ion exchange is an international journal that publishes original research papers, reviews, and notes that address all aspects of solvent extraction, ion exchange, and closely related methods involving, for example, liquid membranes, extraction chromatography, supercritical fluids, ionic liquids, microfluidics, and adsorption.
we welcome submissions that look at:
·          the underlying principles in solvent extraction and ion exchange
·          solvent extraction and ion exchange process development
·          new materials or reagents, their syntheses and properties
·          computational methods of molecular design and simulation
·          advances in equipment, fluid dynamics, and engineering
·          interfacial phenomena, kinetics, and coalescence
·          spectroscopic and diffraction analysis of structure and dynamics
·          host-guest chemistry, ion receptors, and molecular recognition
systems of primary interest effect the selective distribution of solution species to immiscible-liquid or solid phases. metal ion separations constitute the focus of the journal, but papers on the separation of organic compounds and stereo-isomers are also encouraged. the journal has historically been a popular choice for papers on nuclear separations involving actinides, lanthanides, and fission products. papers dealing with hydrometallurgical extraction and separations are especially welcome, from ore processing to recycling.
we also run special issues that explore focused subject matter that is of current interest to our readers. these special issues are handled by volunteer guest editors.
submissions can take the form of:
·          original articles
·          notes that describe novel work of a limited nature or significant work in progress
·          critical reviews
·          letters and announcements
the editors reserve the right to reject without peer review any papers deemed unsuitable. all papers deemed suitable will go through a single-blind peer-review process before publication. please feel free to get in touch if you have any questions regarding the suitability of your article.
this journal uses taylor and francis’ submission portal to manage the submission process. the submission portal allows you to see your submissions across taylor and francis’ journal portfolio in one place. to submit your manuscript please click here.
author benefits
we are abstracted and indexed in scopus, the science citation index expanded, web of science, and more.
the prestigious and experienced members of our international  editorial board will guide you from submission to publication.
our author services page provides you with tips and tricks to promote your research on social media and through your network. this includes 50 free e-prints to share with anyone you wish.
quickly and easily track the impact your paper makes with the help of authored works.
solvent extraction and ion exchange  focuses on publishing original research papers, reviews, and notes that address all aspects of solvent extraction, ion exchange, and closely related methods. the primary emphasis is on underlying principles, process development, and new materials or reagents. periodically, the journal publishes special issues dedicated to focused subject matter of interest to the readership of the journal.
original articles, notes, and critical reviews will be considered for publication. original articles must be of reasonably broad scope and of significance to the solvent extraction or the ion exchange communities. notes will ordinarily describe novel work of a limited nature or particularly significant work in progress.
  papers will be refereed and submissions are welcomed from around the world (though published only in english). the editors reserve the right to reject without peer review any papers deemed unsuitable. articles whose sole focus is the development of an analytical method are discouraged. the editors welcome preliminary inquiries regarding the suitability of prospective articles. 
  publication office: taylor and francis, inc., 530 walnut street, suite 850, philadelphia, pa 19106
authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
spatial cognition and computation,hscc20,"this multidisciplinary journal is based on the assumption that the critical issues pertaining to spatial cognition and computation lie at the intersection of a number of disciplines--including cognitive psychology, cognitive science, mathematics and computer science, geography and cartography, animal behavior, neuropsychology, artificial intelligence, philosophy, and planning and architecture. recent years have seen a growth in the desire of these communities to share insights and results. the aim of this journal is to concentrate the presentation of basic research into spatial cognition and computation, and to explicitly foster an interdisciplinary dialogue.
  spatial cognition and computation encourages the submission of articles on any topic in the areas of spatial cognition and spatial computation. research articles, empirical studies, integrative reviews of the literature, and shorter opinion pieces will be considered for publication.
specific topics within the scope of the journal:
cognitive and computational models of spatial cognition;
navigation, environmental learning, and cognitive mapping;
cognitive development and representation of large-scale space;
common sense and qualitative models of space;
robot navigation and wayfinding;
models and applications of spatial and diagrammatic reasoning;
visual and sign languages;
visualization and spatial cognition;
cognitive theories of imagery and imaginal reasoning;
integration of vision and natural language processing;
representation and processing of spatial expressions and crosslinguistic issues in spatial language;
gestural analysis and multimodal interfaces;
architecture and spatial cognition;
philosophical issues in spatial cognition; and
spatial cognition in virtual environments and hypermedia.
all submitted manuscripts are subject to initial appraisal by one of the editors, and, if found suitable for further consideration, to peer review by independent, anonymous expert referees. all submission is online via scholarone manuscripts.
  from time to time the journal publishes special issues on topics of timely interest; such special issues are always subject to open calls. 
  publication office: taylor and francis, inc., 530 walnut street, suite 850, philadelphia, pa 19106.
authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
structural engineering international,tsei20,"structural engineering international (sei) publishes technical reports and scientific papers with a focus on structural engineering, to bridge the gap between professionals and academics. sei is a journal with a mix of articles ranging from practical to scientific. sei publishes articles on recent structures, developments in practice and research. articles in sei consider all types of structures, bridges, buildings, offshore structures, etc., constructed from all types of building materials: concrete, steel, composites, timber, fibre reinforced polymers, glass, etc. articles in sei also deal with the sustainability of structures and a broad range of structural engineering practice from design to construction to maintenance and monitoring, and finally to the re-use or demolition of structures.
all technical articles are reviewed by the iabse sei editorial board, with collaboration of over 250 reviewers over 20 correspondents.
author benefits
structural engineering international is an official journal of the  international association for bridge and structural engineering (iabse) meaning your research will be visible across all their members globally.
the prestigious and experienced members of our international  editorial board will guide you from submission to publication.
our  author services page provides you with tips and tricks to promote your research on social media and through your network. this includes 50 free e-prints to share with anyone you wish.
quickly and easily track the impact your paper makes with the help of my authored works.

  authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
structure and infrastructure engineering,nsie20,"structure and infrastructure engineering - maintenance, management, life-cycle design and performance is an international journal dedicated to recent advances in maintenance, management and life-cycle performance of a wide range of infrastructures, such as: buildings, bridges, dams, railways, underground constructions, offshore platforms, pipelines, naval vessels, ocean structures, nuclear power plants, airplanes and other types of structures including aerospace and automotive structures.
the journal presents research and developments on the most advanced technologies for analyzing, predicting and optimizing infrastructure performance. the main gaps to be filled are those between researchers and practitioners in maintenance, management and life-cycle performance of infrastructure systems, and those between professionals working on different types of infrastructures. to this end, the journal will provide a forum for a broad blend of scientific, technical and practical papers. the journal is endorsed by the international association for life-cycle civil engineering ( ialcce) and the international association for bridge maintenance and safety ( iabmas).
the scope of the journal encompasses, but is not restricted to:

·         mathematical modelling
·         computer and experimental methods
·         practical infrastructure applications in the areas of assessment and evaluation
·         construction and design for durability
·         decision making
·         deterioration modelling and aging
·         failure analysis
·         field testing
·         financial planning
·         sustainability, inspection and diagnostics
·         life-cycle analysis and prediction
·         loads
·         maintenance strategies
·         management systems
·         non-destructive testing
·         monitoring, optimization of maintenance and management
·         specifications and codes
·         time- dependent performance
·         rehabilitation, repair, replacement
·         reliability and risk management
·         service life prediction
·         strengthening
·         resilience and whole life costing

  papers considered for publication are original, high-quality papers that form a significant contribution to the theory or practice of infrastructure engineering, present state-of-the-art work on a topic related to infrastructure, or describe a case study in which theory is applied to a significant infrastructure problem.
all published research articles in this journal have undergone rigorous peer review, based on initial editor screening and anonymous refereeing by independent expert referees. all peer review is single blind and submission is online via scholarone manuscripts.
authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
supply chain forum: an international journal,tscf20,"supply chain forum: an international journal (scfij) is a peer reviewed periodical providing a broad international coverage of subjects relating to the management of the supply chain. it focuses on the integration of supply, production, distribution and sales. it is concerned with the management of the global supply chain from primary supplier to final customer. it provides in-depth research articles and company case studies that enrich both the knowledge of the discipline and the practices of supply chain management.
scfij is designed to appeal to managers and researchers concerned with supply chain management, inter-firm relationship and organization and new technologies. its aims are:
to present the latest thinking, research and emerging concepts of supply chain management
to explore the overall philosophy of supply chain management
to further first class supply chain practices 
it includes original material concerned with all facets of supply chain management in the form of:
articles with a fundamental basis and research papers presenting results and practical applications
papers providing experiences and practical features of supply chain management
commented case studies illustrating international application problems
scfij welcomes research papers based on new and innovative supply chain management practices. any appropriate research methods may be used and each paper should justify the method applied. case studies are also welcome where they illustrate international application problems and generate discussion about supply chain policies, practices and methods. 2-3 managers or researchers, experts in the field, are invited to comment the case studies. authors should relate their work to the existing knowledge in the field, and have impact on the sc operations in companies, setting the agenda for future research.
contents of scfij are targeted to academics (professors, researchers), students and practitioners (supply chain managers, consultants). it is not the appropriate journal for theoretical papers without any managerial implications. 
all submitted manuscripts are subject to initial appraisal by the editor, and, if found suitable for further consideration, to peer review by at least two independent, anonymous expert referees. reviewers are drawn from the editorial board and a list of occasional reviewers who have been nominated for their expertise. reviewers’ comments are based on relevance to the field, particularly applicability in industry, besides originality and scientific rigor. all peer review is double blind and submission is online via scholarone.
subjects covered by scfij include:
supply chain management, supply chain strategies, collaboration, logistics pooling, purchasing, outsourcing, risk analysis, innovations, logistics services, service provider, global supply chain, sustainable supply chain, reverse supply chain, healthcare supply chain, supply chain performance, supply chain finance, supply chain control, performance measurement, knowledge management, sourcing strategies, decision-making, e‐commerce, traceability, process modelling, inventory planning, city supply chain, supply chain risk management, humanitarian supply chain, information systems, new technologies, service provider, networks, physical internet, big data.
authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
surface engineering,ysue20,"surface engineering provides a forum for the publication of refereed material on both the theory and practice of this important enabling technology, embracing science, technology and engineering. coverage includes design, surface modification technologies and process control, and the characterisation and properties of the final system or component, including quality control and non-destructive examination.
contributions are invited on any aspect of the use of surface engineering to produce surface-substrate systems having mechanical, tribological, chemical and/or functional properties that cannot be achieved from the individual components alone.
  peer review policy
all submitted manuscripts are subject to initial appraisal by the editor. if found suitable for further consideration, papers are subject to peer review by independent, anonymous expect referees. all peer-review is single blind and submissions can be submitted online via  https://www.editorialmanager.com/sur
publishing ethics
the journal adheres to the highest standards of publishing ethics, with rigorous processes in place to ensure this is achieved. taylor and francis is a member of  committee of publications ethics  (cope) and utilises  crosscheck  for all journals. more information on our ethical standards and policies can be found here:  http://authorservices.taylorandfrancis.com/ethics-for-authors/   
authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
systems analysis modelling simulation,gsam20,home all journals systems analysis modelling simulation aims and scope
textile progress,ttpr20,"launched in 1969, textile progress publishes critical, comprehensive and authoritative reviews of research into all aspects of the textile, apparel and footwear industries, associated sciences, social sciences and technologies. with emphasis on recent developments and improvements in both product and service performance, the journal aims to be topical in its choice of research review subjects. textile progress is intended to appeal to a wide readership, to stimulate interdisciplinary interest among textile, clothing and footwear professionals and also to provide an understanding of the state of the art that is accessible to non-textile specialists. examples of areas that have been addressed by the journal in recent years include:
smart textiles
the science of clothing comfort/moisture transport/clothing systems for outdoor activities
fibre-reinforced composites/composite nonwovens (hard and soft composites)
green chemistry and the textile industry/functional finishing/plasma technology/ dyeing and coloration
development of medical garments for the elderly and disabled
nanoparticles and nanotechnology in the development of high-performance textiles
fashion marketing, fashion retailing and fashion retail technology.
all review articles in textile progress undergo both expert peer review and editorial screening before being accepted for publication.
   read the instructions for authors for information on how to submit your article."
the engineering economist,utee20,"the engineering economist is a refereed journal published jointly by the engineering economy division of the american society of engineering education (asee) and the institute of industrial and systems engineers (iise). the journal publishes articles, case studies, surveys, and book and software reviews that represent original research, current practice, and teaching involving problems of capital investment.

the journal seeks submissions in a number of areas, including, but not limited to: capital investment analysis, financial risk management, cost estimation and accounting, cost of capital, design economics, economic decision analysis, engineering economy education, research and development, and the analysis of public policy when it is relevant to the economic investment decisions made by engineers and technology managers.
all submitted manuscripts are subject to initial appraisal by the editor, and, if found suitable for further consideration, to peer review by independent, anonymous expert referees. all peer review is double-blind and submission is online via scholarone manuscripts.
practicing engineers, engineering managers, financial managers, engineering educators and researchers.
the journal is a thomson/isi citation journal in the social science and science citation indexes.
  publication office: taylor and francis, inc., 530 walnut street, suite 850, philadelphia, pa 19106
authors can choose to publish gold open access in this journal.
read the instructions for authors for information on how to submit your article."
